@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string
@attribute measureKNN numeric

@data

data.to.save,2,10,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.028794,0.109848,6.209323,22.81605,59.64963,3.460076,56.189554,0.94682,0.054922,0.891898,56.140088,0.891113,94.116405,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,0.999457,0.998188,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,0.999457,0.998951,0.982716,0.984127,0,0.049,0,0.046875,0,46.875,65186,63369,8433,100,53.968254,?,5
data.to.save,3,1,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,60,3,0,95.238095,4.761905,0,0.898223,0.05071,0.206662,10.935383,42.924738,59.64963,22.926903,36.722728,0.94682,0.363919,0.5829,52.86944,0.839197,88.633307,0.956522,22,0.05,2,0.95,38,0.043478,1,0.916667,0.956522,0.93617,0.89874,0.973913,0.917284,0.952381,0.045859,0.954141,0.047619,0.953297,0.952381,0.952586,0.89874,0.973913,0.958537,0.949098,0.952381,0,0.053,0,0.046875,0,46.875,65162,63369,8433,96.825397,51.587302,?,2
data.to.save,3,2,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,60,3,0,95.238095,4.761905,0,0.894354,0.058506,0.192402,12.616714,39.962818,59.64963,16.271673,43.377957,0.94682,0.258281,0.688539,52.126846,0.82741,87.38838,0.869565,20,0,0,1,40,0.130435,3,1,0.869565,0.930233,0.899388,0.995109,0.987224,0.952381,0.082816,0.917184,0.047619,0.955703,0.952381,0.95158,0.899388,0.995109,0.992244,0.947044,0.952381,0,0.051,0,0.046875,0,46.875,65170,63369,8433,98.412698,54.761905,?,3
data.to.save,3,3,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.008478,0.062997,1.828326,13.084842,59.64963,1.049265,58.600366,0.94682,0.016655,0.930165,58.492091,0.928446,98.059436,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,1,1,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,1,1,0.983033,0.984127,0,0.051,0,0.0625,0,62.5,65162,63369,8433,100,50.793651,?,2
data.to.save,3,4,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,60,3,0,95.238095,4.761905,0,0.900053,0.040163,0.166584,8.661063,34.600286,59.64963,13.194717,46.454914,0.94682,0.20944,0.73738,54.281106,0.861605,90.999904,1,23,0.075,3,0.925,37,0,0,0.884615,1,0.938776,0.904582,0.986413,0.955286,0.952381,0.027381,0.972619,0.047619,0.957875,0.952381,0.952911,0.904582,0.986413,0.97725,0.949907,0.952381,0,0.058,0,0.046875,0,46.875,65162,63369,8433,98.412698,52.380952,?,2
data.to.save,3,5,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,63,0,0,100,0,0,1,0.032218,0.12599,6.947741,26.168623,59.64963,4.042924,55.606707,0.94682,0.064173,0.882646,55.606707,0.882646,93.222215,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0.053,0,0.0625,0,62.5,65162,63369,8433,100,53.174603,?,2
data.to.save,3,6,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,60,3,0,95.238095,4.761905,0,0.896325,0.05102,0.185135,11.002282,38.453501,59.64963,16.684505,42.965126,0.94682,0.264833,0.681986,53.075262,0.842464,88.978358,0.913043,21,0.025,1,0.975,39,0.086957,2,0.954545,0.913043,0.933333,0.89686,0.988043,0.984043,0.952381,0.064337,0.935663,0.047619,0.952434,0.952381,0.952146,0.89686,0.988043,0.989252,0.948148,0.952381,0,0.052,0,0.046875,0,46.875,65186,63369,8433,98.412698,54.761905,?,5
data.to.save,3,7,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,60,3,0,95.238095,4.761905,0,0.896325,0.062409,0.184497,13.458234,38.32088,59.64963,9.429305,50.220325,0.94682,0.149672,0.797148,51.675507,0.820246,86.63173,0.913043,21,0.025,1,0.975,39,0.086957,2,0.954545,0.913043,0.933333,0.89686,0.991304,0.98025,0.952381,0.064337,0.935663,0.047619,0.952434,0.952381,0.952146,0.89686,0.991304,0.98937,0.948148,0.952381,0,0.052,0,0.0625,0,62.5,65234,63369,8433,100,59.52381,?,11
data.to.save,3,8,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.037539,0.159837,8.095244,33.198808,59.64963,12.781792,46.867839,0.94682,0.202886,0.743934,54.910581,0.871597,92.055191,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,0.994022,0.986825,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,0.994022,0.991231,0.982716,0.984127,0,0.05,0,0.03125,0,31.25,65162,63369,8433,98.412698,52.380952,?,2
data.to.save,3,9,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.037535,0.159836,8.094256,33.198798,59.64963,12.781375,46.868256,0.94682,0.202879,0.743941,54.802723,0.869884,91.874372,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.98587,0.953129,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.98587,0.976697,0.966346,0.968254,0,0.062,0,0.046875,0,46.875,65162,63369,8433,98.412698,52.380952,?,2
data.to.save,3,10,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.024326,0.140761,5.245892,29.236794,59.64963,11.198005,48.451625,0.94682,0.177746,0.769073,56.494368,0.896736,94.71034,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.986957,0.956601,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.986957,0.978361,0.983033,0.984127,0,0.05,0,0.046875,0,46.875,65162,63369,8433,98.412698,50.793651,?,2
data.to.save,4,1,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.028625,0.126959,6.172973,26.370017,59.64963,4.319338,55.330292,0.94682,0.068561,0.878259,55.960384,0.88826,93.81514,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.998913,0.996377,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.998913,0.997921,0.966346,0.968254,0,0.049,0,0.046875,0,46.875,65194,63369,8433,100,53.968254,?,6
data.to.save,4,2,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.032244,0.154214,6.953374,32.030984,59.64963,12.196316,47.453314,0.94682,0.193592,0.753227,55.496057,0.88089,93.036715,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,0.996739,0.991004,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,0.996739,0.994393,0.982716,0.984127,0,0.048,0,0.0625,0,62.5,65218,63369,8433,98.412698,51.587302,?,2
data.to.save,4,3,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.027026,0.107091,5.828081,22.243259,59.64963,3.222125,56.427505,0.94682,0.051145,0.895675,56.31923,0.893956,94.416729,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.999457,0.998188,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.999457,0.998951,0.983033,0.984127,0,0.064,0,0.0625,0,62.5,65170,63369,8433,100,53.174603,?,2
data.to.save,4,4,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,61,2,0,96.825397,3.174603,0,0.931522,0.029645,0.112529,6.392751,23.372766,59.64963,3.592609,56.057022,0.94682,0.057026,0.889794,55.948747,0.888075,93.79563,0.956522,22,0.025,1,0.975,39,0.043478,1,0.956522,0.956522,0.956522,0.931522,0.998913,0.998188,0.968254,0.036732,0.963268,0.031746,0.968254,0.968254,0.968254,0.931522,0.998913,0.998951,0.965761,0.968254,0,0.052,0,0.046875,0,46.875,65186,63369,8433,100,53.968254,?,4
data.to.save,4,5,weka.classifiers.lazy.IBk,'-K 100 -W 0 -X -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20220116.1128,567,63,60,3,0,95.238095,4.761905,0,0.896325,0.063944,0.235545,13.789285,48.923804,59.64963,33.077818,26.571813,0.94682,0.525045,0.421775,51.283733,0.814028,85.974939,0.913043,21,0.025,1,0.975,39,0.086957,2,0.954545,0.913043,0.933333,0.89686,0.971196,0.928054,0.952381,0.064337,0.935663,0.047619,0.952434,0.952381,0.952146,0.89686,0.971196,0.960753,0.948148,0.952381,0,0.051,0,0.046875,0,46.875,65218,63369,8433,95.238095,51.587302,?,2
