@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
200,230,0,110,290,0.275,1,0.676471,1,0.323529,0.807018,0.539683,1.852941,0.003574
201,230,0,109,291,0.2725,1,0.678466,1,0.321534,0.808436,0.538095,1.858407,0.003622
202,230,0,108,292,0.27,1,0.680473,1,0.319527,0.809859,0.536508,1.863905,0.003622
203,230,0,107,293,0.2675,1,0.682493,1,0.317507,0.811287,0.534921,1.869436,0.003624
204,230,0,106,294,0.265,1,0.684524,1,0.315476,0.812721,0.533333,1.875,0.003649
205,230,0,105,295,0.2625,1,0.686567,1,0.313433,0.814159,0.531746,1.880597,0.003686
206,230,0,104,296,0.26,1,0.688623,1,0.311377,0.815603,0.530159,1.886228,0.003694
207,230,0,103,297,0.2575,1,0.690691,1,0.309309,0.817052,0.528571,1.891892,0.003694
208,230,0,102,298,0.255,1,0.692771,1,0.307229,0.818505,0.526984,1.89759,0.003694
209,230,0,101,299,0.2525,1,0.694864,1,0.305136,0.819964,0.525397,1.903323,0.003694
210,230,0,100,300,0.25,1,0.69697,1,0.30303,0.821429,0.52381,1.909091,0.003814
211,230,0,99,301,0.2475,1,0.699088,1,0.300912,0.822898,0.522222,1.914894,0.003814
212,230,0,98,302,0.245,1,0.70122,1,0.29878,0.824373,0.520635,1.920732,0.003816
213,230,0,97,303,0.2425,1,0.703364,1,0.296636,0.825853,0.519048,1.926606,0.004053
214,230,0,96,304,0.24,1,0.705521,1,0.294479,0.827338,0.51746,1.932515,0.004053
215,230,0,95,305,0.2375,1,0.707692,1,0.292308,0.828829,0.515873,1.938462,0.004053
216,230,0,94,306,0.235,1,0.709877,1,0.290123,0.830325,0.514286,1.944444,0.004054
217,230,0,93,307,0.2325,1,0.712074,1,0.287926,0.831826,0.512698,1.950464,0.004054
218,230,0,92,308,0.23,1,0.714286,1,0.285714,0.833333,0.511111,1.956522,0.004054
219,230,0,91,309,0.2275,1,0.716511,1,0.283489,0.834846,0.509524,1.962617,0.004054
220,230,0,90,310,0.225,1,0.71875,1,0.28125,0.836364,0.507937,1.96875,0.004056
221,230,0,89,311,0.2225,1,0.721003,1,0.278997,0.837887,0.506349,1.974922,0.006908
222,230,0,88,312,0.22,1,0.72327,1,0.27673,0.839416,0.504762,1.981132,0.006908
223,230,0,87,313,0.2175,1,0.725552,1,0.274448,0.840951,0.503175,1.987382,0.007028
224,230,0,86,314,0.215,1,0.727848,1,0.272152,0.842491,0.501587,1.993671,0.007147
225,230,0,85,315,0.2125,1,0.730159,1,0.269841,0.844037,0.5,2,0.007147
226,230,0,84,316,0.21,1,0.732484,1,0.267516,0.845588,0.498413,2.006369,0.007147
227,230,0,83,317,0.2075,1,0.734824,1,0.265176,0.847145,0.496825,2.01278,0.007148
228,230,0,82,318,0.205,1,0.737179,1,0.262821,0.848708,0.495238,2.019231,0.007148
229,230,0,81,319,0.2025,1,0.73955,1,0.26045,0.850277,0.493651,2.025723,0.007387
230,230,0,80,320,0.2,1,0.741935,1,0.258065,0.851852,0.492063,2.032258,0.007387
231,230,0,79,321,0.1975,1,0.744337,1,0.255663,0.853432,0.490476,2.038835,0.007387
232,230,0,78,322,0.195,1,0.746753,1,0.253247,0.855019,0.488889,2.045455,0.007411
233,230,0,77,323,0.1925,1,0.749186,1,0.250814,0.856611,0.487302,2.052117,0.010145
234,230,0,76,324,0.19,1,0.751634,1,0.248366,0.858209,0.485714,2.058824,0.010363
235,230,0,75,325,0.1875,1,0.754098,1,0.245902,0.859813,0.484127,2.065574,0.010366
236,230,0,74,326,0.185,1,0.756579,1,0.243421,0.861423,0.48254,2.072368,0.010481
237,230,0,73,327,0.1825,1,0.759076,1,0.240924,0.863039,0.480952,2.079208,0.010484
238,230,0,72,328,0.18,1,0.761589,1,0.238411,0.864662,0.479365,2.086093,0.01072
239,229,1,72,328,0.18,0.995652,0.760797,0.995652,0.239203,0.862524,0.477778,2.083923,0.010732
240,229,1,71,329,0.1775,0.995652,0.763333,0.995652,0.236667,0.864151,0.47619,2.09087,0.013695
241,229,1,70,330,0.175,0.995652,0.765886,0.995652,0.234114,0.865784,0.474603,2.097862,0.013814
242,229,1,69,331,0.1725,0.995652,0.768456,0.995652,0.231544,0.867424,0.473016,2.104902,0.013814
243,229,1,68,332,0.17,0.995652,0.771044,0.995652,0.228956,0.86907,0.471429,2.111989,0.013817
244,229,1,67,333,0.1675,0.995652,0.773649,0.995652,0.226351,0.870722,0.469841,2.119125,0.014053
245,229,1,66,334,0.165,0.995652,0.776271,0.995652,0.223729,0.872381,0.468254,2.126308,0.014054
246,229,1,65,335,0.1625,0.995652,0.778912,0.995652,0.221088,0.874046,0.466667,2.13354,0.014059
247,229,1,64,336,0.16,0.995652,0.78157,0.995652,0.21843,0.875717,0.465079,2.140822,0.016805
248,229,1,63,337,0.1575,0.995652,0.784247,0.995652,0.215753,0.877395,0.463492,2.148154,0.017158
249,229,1,62,338,0.155,0.995652,0.786942,0.995652,0.213058,0.879079,0.461905,2.155536,0.017387
250,229,1,61,339,0.1525,0.995652,0.789655,0.995652,0.210345,0.880769,0.460317,2.162969,0.017409
251,229,1,60,340,0.15,0.995652,0.792388,0.995652,0.207612,0.882466,0.45873,2.170453,0.020186
252,229,1,59,341,0.1475,0.995652,0.795139,0.995652,0.204861,0.88417,0.457143,2.177989,0.020394
253,229,1,58,342,0.145,0.995652,0.797909,0.995652,0.202091,0.88588,0.455556,2.185578,0.020481
254,229,1,57,343,0.1425,0.995652,0.800699,0.995652,0.199301,0.887597,0.453968,2.19322,0.020724
255,229,1,56,344,0.14,0.995652,0.803509,0.995652,0.196491,0.88932,0.452381,2.200915,0.023514
256,229,1,55,345,0.1375,0.995652,0.806338,0.995652,0.193662,0.891051,0.450794,2.208665,0.023578
257,229,1,54,346,0.135,0.995652,0.809187,0.995652,0.190813,0.892788,0.449206,2.21647,0.024101
258,229,1,53,347,0.1325,0.995652,0.812057,0.995652,0.187943,0.894531,0.447619,2.224329,0.024155
259,229,1,52,348,0.13,0.995652,0.814947,0.995652,0.185053,0.896282,0.446032,2.232245,0.030801
260,229,1,51,349,0.1275,0.995652,0.817857,0.995652,0.182143,0.898039,0.444444,2.240217,0.034053
261,229,1,50,350,0.125,0.995652,0.820789,0.995652,0.179211,0.899804,0.442857,2.248247,0.034054
262,229,1,49,351,0.1225,0.995652,0.823741,0.995652,0.176259,0.901575,0.44127,2.256334,0.035161
263,229,1,48,352,0.12,0.995652,0.826715,0.995652,0.173285,0.903353,0.439683,2.26448,0.035753
264,229,1,47,353,0.1175,0.995652,0.82971,0.995652,0.17029,0.905138,0.438095,2.272684,0.037041
265,229,1,46,354,0.115,0.995652,0.832727,0.995652,0.167273,0.906931,0.436508,2.280949,0.037147
266,229,1,45,355,0.1125,0.995652,0.835766,0.995652,0.164234,0.90873,0.434921,2.289273,0.037395
267,229,1,44,356,0.11,0.995652,0.838828,0.995652,0.161172,0.910537,0.433333,2.297659,0.03749
268,229,1,43,357,0.1075,0.995652,0.841912,0.995652,0.158088,0.912351,0.431746,2.306106,0.040082
269,229,1,42,358,0.105,0.995652,0.845018,0.995652,0.154982,0.914172,0.430159,2.314616,0.040725
270,229,1,41,359,0.1025,0.995652,0.848148,0.995652,0.151852,0.916,0.428571,2.323188,0.040743
271,229,1,40,360,0.1,0.995652,0.851301,0.995652,0.148699,0.917836,0.426984,2.331825,0.047106
