@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary string

@data

Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,2,10,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.015903,0.125988,3.429376,26.168384,59.64963,37.470044,22.179586,0.94682,0.594763,0.352057,57.538652,0.913312,96.461037,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.998913,0.998188,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.998913,0.998951,0.983033,0.984127,0,0.001,0,0,0,0,3688,63409,8473,98.412698,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,1,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,59,4,0,93.650794,6.349206,0,0.865528,0.062957,0.249879,13.576541,51.900975,59.64963,298.971297,-239.321666,0.94682,4.745576,-3.798757,51.265933,0.813745,85.945098,0.956522,22,0.075,3,0.925,37,0.043478,1,0.88,0.956522,0.916667,0.867491,0.970652,0.908528,0.936508,0.054986,0.945014,0.063492,0.939482,0.936508,0.937017,0.867491,0.978934,0.961479,0.932692,0.936508,0,0,0,0,0,0,3688,63409,8473,93.650794,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,2,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,63,0,0,100,0,0,1,0.000102,0.000563,0.021933,0.11695,59.64963,0.009259,59.640372,0.94682,0.000147,0.946673,59.640372,0.946673,99.984478,1,23,0,0,1,40,0,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,3688,63409,8473,100,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,3,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,62,1,0,98.412698,1.587302,0,0.966074,0.018981,0.127919,4.093202,26.569419,59.64963,218.20378,-158.55415,0.94682,3.463552,-2.516733,57.233626,0.90847,95.949673,1,23,0.025,1,0.975,39,0,0,0.958333,1,0.978723,0.966631,0.986957,0.956601,0.984127,0.009127,0.990873,0.015873,0.984788,0.984127,0.984195,0.966631,0.988337,0.980981,0.983033,0.984127,0,0.002,0,0,0,0,3688,63409,8473,98.412698,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,4,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,58,5,0,92.063492,7.936508,0,0.836364,0.079367,0.281718,17.115199,58.514164,59.64963,462.686889,-403.037258,0.94682,7.344236,-6.397417,49.108105,0.779494,82.327593,1,23,0.125,5,0.875,35,0,0,0.821429,1,0.901961,0.847791,0.947826,0.846402,0.920635,0.045635,0.954365,0.079365,0.934807,0.920635,0.92188,0.847791,0.9706,0.938451,0.917647,0.920635,0,0,0,0,0,0,3688,63409,8473,92.063492,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,5,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,62,1,0,98.412698,1.587302,0,0.965442,0.015865,0.125915,3.421246,26.153247,59.64963,10.759964,48.889666,0.94682,0.170793,0.776026,57.542082,0.913366,96.466786,0.956522,22,0,0,1,40,0.043478,1,1,0.956522,0.977778,0.966019,1,1,0.984127,0.027605,0.972395,0.015873,0.984514,0.984127,0.984049,0.966019,1,1,0.982716,0.984127,0,0,0,0,0,0,3688,63409,8473,98.412698,50,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,6,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.931522,0.036741,0.182485,7.922995,37.902941,59.64963,35.836476,23.813155,0.94682,0.568833,0.377987,54.889081,0.871255,92.019146,0.956522,22,0.025,1,0.975,39,0.043478,1,0.956522,0.956522,0.956522,0.931522,0.992391,0.989114,0.968254,0.036732,0.963268,0.031746,0.968254,0.968254,0.968254,0.931522,0.992391,0.993178,0.965761,0.968254,0,0,0,0,0,0,3688,63409,8473,96.825397,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,7,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,59,4,0,93.650794,6.349206,0,0.865528,0.06268,0.248548,13.516833,51.624584,59.64963,151.449918,-91.800288,0.94682,2.403967,-1.457147,51.292614,0.814168,85.989826,0.956522,22,0.075,3,0.925,37,0.043478,1,0.88,0.956522,0.916667,0.867491,0.979891,0.94261,0.936508,0.054986,0.945014,0.063492,0.939482,0.936508,0.937017,0.867491,0.984377,0.974757,0.932692,0.936508,0.001,0,0,0,0,0,3688,63409,8473,95.238095,50.793651,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,8,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.931522,0.035651,0.17375,7.688093,36.088617,59.64963,237.697704,-178.048074,0.94682,3.772979,-2.82616,54.965123,0.872462,92.146628,0.956522,22,0.025,1,0.975,39,0.043478,1,0.956522,0.956522,0.956522,0.931522,0.98587,0.952914,0.968254,0.036732,0.963268,0.031746,0.968254,0.968254,0.968254,0.931522,0.98725,0.979386,0.965761,0.968254,0.001,0,0.015625,0,15.625,0,3688,63409,8473,98.412698,51.587302,?
Filtered.Breast.Cancer.Wisconsin..Original..Data.Set,3,9,weka.classifiers.bayes.NaiveBayes,'',5995231201785697655,20220117.2151,567,63,61,2,0,96.825397,3.174603,0,0.932764,0.031749,0.178174,6.846551,37.00762,59.64963,335.428516,-275.778885,0.94682,5.324262,-4.377443,55.432821,0.879886,92.930704,1,23,0.05,2,0.95,38,0,0,0.92,1,0.958333,0.93488,0.984783,0.951247,0.968254,0.018254,0.981746,0.031746,0.970794,0.968254,0.968508,0.93488,0.986853,0.97863,0.966346,0.968254,0,0,0,0,0,0,3688,63409,8473,96.825397,50,?
